0	10	10	8500
0.00905309	10.0905	-5.29973	8617.73
0.0181062	10.0426	-20.738	8737.1
0.0271593	9.85481	-36.1028	8858.11
0.0362124	9.52797	-51.1804	8980.81
0.0452655	9.06463	-65.7579	9105.2
0.0543186	8.46931	-79.6265	9231.32
0.0633717	7.74845	-92.5844	9359.18
0.0724247	6.91027	-104.439	9488.81
0.0814778	5.96477	-115.012	9620.24
0.0905309	4.92356	-124.138	9753.49
0.099584	3.79973	-131.671	9888.59
0.108637	2.6077	-137.484	10025.6
0.11769	1.36305	-141.474	10164.4
0.126743	0.0822706	-143.559	10305.2
0.135796	-1.21739	-143.685	10447.9
0.144849	-2.51818	-141.823	10592.7
0.153903	-3.80211	-137.97	10739.4
0.162956	-5.05117	-132.153	10888.1
0.172009	-6.24756	-124.425	11038.9
0.181062	-7.37399	-114.866	11191.8
0.190115	-8.41388	-103.584	11346.9
0.199168	-9.35163	-90.711	11504
0.208221	-10.1728	-76.4032	11663.4
0.217274	-10.8645	-60.839	11824.9
0.226327	-11.4153	-44.2166	11988.7
0.23538	-11.8156	-26.7515	12154.8
0.244434	-12.0578	-8.67392	12323.1
0.253487	-12.1363	9.77418	12493.8
0.26254	-12.0478	28.3424	12666.9
0.271593	-11.7912	46.7753	12842.3
0.280646	-11.3678	64.8156	13020.2
0.289699	-10.781	82.208	13200.5
0.298752	-10.0368	98.7026	13383.4
0.307805	-9.14321	114.059	13568.7
0.316858	-8.11062	128.047	13756.7
0.325911	-6.9514	140.456	13947.2
0.334964	-5.67983	151.092	14140.4
0.344018	-4.31198	159.782	14336.3
0.353071	-2.86546	166.379	14534.8
0.362124	-1.35922	170.763	14736.2
0.371177	0.18672	172.843	14940.3
0.38023	1.75148	172.557	15147.2
0.389283	3.31366	169.877	15357
0.398336	4.85157	164.808	15569.7
0.407389	6.34359	157.385	15785.4
0.416442	7.76841	147.679	16004
0.425495	9.10537	135.794	16225.7
0.434548	10.3347	121.863	16450.4
0.443602	11.438	106.051	16678.3
0.452655	12.398	88.5513	16909.3
0.461708	13.1997	69.5826	17143.5
0.470761	13.8296	49.3874	17381
0.479814	14.2768	28.2284	17621.7
0.488867	14.5323	6.38537	17865.8
0.49792	14.5901	-15.8487	18113.2
0.506973	14.4466	-38.1712	18364.1
0.516026	14.1011	-60.2741	18618.5
0.525079	13.5554	-81.8484	18876.4
0.534133	12.8144	-102.588	19137.8
0.543186	11.8857	-122.193	19402.9
0.552239	10.7795	-140.378	19671.6
0.561292	9.5086	-156.871	19944.1
0.570345	8.08844	-171.418	20220.4
0.579398	6.53657	-183.794	20500.4
0.588451	4.87267	-193.794	20784.4
0.597504	3.11823	-201.249	21072.3
0.606557	1.2963	-206.02	21364.1
0.61561	-0.568818	-208.003	21660.1
0.624663	-2.45189	-207.133	21960.1
0.633717	-4.32709	-203.382	22264.2
0.64277	-6.16832	-196.762	22572.6
0.651823	-7.94962	-187.324	22885.3
0.660876	-9.64549	-175.161	23202.3
0.669929	-11.2312	-160.404	23523.6
0.678982	-12.6834	-143.221	23849.5
0.688035	-13.98	-123.815	24179.8
0.697088	-15.1009	-102.426	24514.7
0.706141	-16.0282	-79.3224	24854.3
0.715194	-16.7463	-54.7998	25198.5
0.724247	-17.2424	-29.1784	25547.5
0.733301	-17.5065	-2.79801	25901.4
0.742354	-17.5319	23.9865	26260.2
0.751407	-17.3147	50.8098	26623.9
0.76046	-16.8547	77.3009	26992.7
0.769513	-16.1549	103.088	27366.5
0.778566	-15.2217	127.805	27745.6
0.787619	-14.0646	151.093	28129.9
0.796672	-12.6968	172.612	28519.5
0.805725	-11.1341	192.038	28914.5
0.814778	-9.39556	209.073	29315
0.823831	-7.50281	223.448	29721.1
0.832885	-5.47991	234.927	30132.7
0.841938	-3.3531	243.311	30550.1
0.850991	-1.15039	248.441	30973.3
0.860044	1.09877	250.201	31402.3
0.869097	3.36386	248.52	31837.2
0.87815	5.61374	243.373	32278.2
0.887203	7.81702	234.784	32725.3
0.896256	9.94254	222.825	33178.6
0.905309	11.9598	207.613	33638.1
0.914362	13.8393	189.315	34104
0.923416	15.5532	168.141	34576.4
0.932469	17.0754	144.345	35055.3
0.941522	18.3822	118.22	35540.9
0.950575	19.4524	90.0956	36033.2
0.959628	20.2681	60.334	36532.3
0.968681	20.8143	29.3243	37038.3
0.977734	21.0798	-2.52094	37551.3
0.986787	21.0569	-34.7724	38071.4
0.99584	20.7421	-66.9889	38598.7
1.00489	20.1357	-98.7238	39133.4
1.01395	19.2419	-129.531	39675.4
1.023	18.0693	-158.971	40224.9
1.03205	16.6301	-186.616	40782.1
1.04111	14.9406	-212.06	41347
1.05016	13.0208	-234.918	41919.7
1.05921	10.8941	-254.84	42500.3
1.06827	8.58702	-271.508	43089
1.07732	6.12904	-284.646	43685.8
1.08637	3.55211	-294.023	44290.9
1.09542	0.890299	-299.457	44904.4
1.10448	-1.82072	-300.82	45526.3
1.11353	-4.54406	-298.034	46156.9
1.12258	-7.24219	-291.082	46796.2
1.13164	-9.87738	-280.001	47444.4
1.14069	-12.4123	-264.889	48101.5
1.14974	-14.8103	-245.899	48767.8
1.1588	-17.0365	-223.239	49443.3
1.16785	-19.0575	-197.174	50128.1
1.1769	-20.8425	-168.017	50822.4
1.18596	-22.3636	-136.128	51526.4
1.19501	-23.596	-101.912	52240.1
1.20406	-24.5186	-65.8112	52963.7
1.21311	-25.1144	-28.2985	53697.3
1.22217	-25.3706	10.1258	54441
1.23122	-25.2789	48.9421	55195.1
1.24027	-24.8358	87.6181	55959.6
